"gene_id","scer_gene_name","functional_category","category_order","name_raw","desc_raw"
"YBL075C","SSA3","Protein folding / QC",2,"YBL075C   SSA3       ER AND MITOCHONDRIAL TRANSLOCATION      CYTOSOLIC HSP70                         S0000171","ER AND MITOCHONDRIAL TRANSLOCATION CYTOSOLIC HSP70 S0000171"
"YER103W","SSA4","Protein folding / QC",2,"YER103W   SSA4       ER AND MITOCHONDRIAL TRANSLOCATION      CYTOSOLIC HSP70                         S0000905","ER AND MITOCHONDRIAL TRANSLOCATION CYTOSOLIC HSP70 S0000905"
"YBR169C","SSE2","Protein folding / QC",2,"YBR169C   SSE2       HEAT SHOCK RESPONSE                     HSP70 FAMILY                            S0000373","HEAT SHOCK RESPONSE HSP70 FAMILY S0000373"
"YDR059C","UBC5","Protein folding / QC",2,"YDR059C   UBC5       PROTEIN DEGRADATION, UBIQUITIN-MEDIATED E2 UB.-CONJUGATING ENZYME               S0002466","PROTEIN DEGRADATION, UBIQUITIN-MEDIATED E2 UB.-CONJUGATING ENZYME S0002466"
"YEL012W","UBC8","Protein folding / QC",2,"YEL012W   UBC8       PROTEIN DEGRADATION, UBIQUITIN-MEDIATED E2 UB.-CONJUGATING ENZYME               S0000738","PROTEIN DEGRADATION, UBIQUITIN-MEDIATED E2 UB.-CONJUGATING ENZYME S0000738"
"YLL039C","UBI4","Protein folding / QC",2,"YLL039C   UBI4       PROTEIN DEGRADATION, UBIQUITIN-MEDIATED UBIQUITIN                               S0003962","PROTEIN DEGRADATION, UBIQUITIN-MEDIATED UBIQUITIN S0003962"
"YNL186W","UBP10","Protein folding / QC",2,"YNL186W   UBP10      PROTEIN DEGRADATION, UBIQUITIN-MEDIATED UBIQUITIN C-TERMINAL HYDROLASE          S0005130","PROTEIN DEGRADATION, UBIQUITIN-MEDIATED UBIQUITIN C-TERMINAL HYDROLASE S0005130"
"YMR304W","UBP15","Protein folding / QC",2,"YMR304W   UBP15      PROTEIN DEGRADATION, UBIQUITIN-MEDIATED PUTATIVE DEUBIQUITINATING ENZYME        S0004920","PROTEIN DEGRADATION, UBIQUITIN-MEDIATED PUTATIVE DEUBIQUITINATING ENZYME S0004920"
"YJL163C","YJL163C","Protein folding / QC",2,"YJL163C              UNKNOWN                                 UNKNOWN; SIMILAR TO BOVINE PREFOLDIN SUBS0003699","UNKNOWN; SIMILAR TO BOVINE PREFOLDIN SUBS0003699"
"YIR039C","YPS6","Protein folding / QC",2,"YIR039C   YPS6       PROTEIN DEGRADATION                     GPI-ANCHORED ASPARTIC PROTEASE          S0001478","PROTEIN DEGRADATION GPI-ANCHORED ASPARTIC PROTEASE S0001478"
"YBR084C-A","-A","Translation / Ribosome",3,"YBR084C-A RPL19A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L19A                  S0002156","RPL19A PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L19A S0002156"
"YER056C-A","-A","Translation / Ribosome",3,"YER056C-A RPL34A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L34A                  S0002135","RPL34A PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L34A S0002135"
"YFR031C-A","-A","Translation / Ribosome",3,"YFR031C-A RPL2A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L2A                   S0002104","RPL2A PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L2A S0002104"
