gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0180,t0240,t0360,t0480
GWK60_I06149,0,0,1.6493474731037787,1.4680753061741545,1.3158406401909497,1.1045013671534336,1.1249125764498018,1.226418186663062,1.1968275937425783,1.150087860239203
GWK60_I06171,1.273799567193569,0,1.9129934824670043,1.5908184755825678,1.5314451668729745,1.3354949569492631,1.3353169330372,1.4194205303134473,1.4428778625534795,1.4760786548111091
GWK60_I06215,0,0,1.356601420348747,0,0,0,0,0,0,0
GWK60_I06259,0,0,0,0,-1.4688052454565432,-1.350722695973236,-1.2324395692024426,-1.2374413433993157,-1.3945824273071403,-1.6827061218529968
GWK60_I06325,0,0,0,0,-1.3619091909558336,0,0,0,0,0
GWK60_I06347,0,-1.4726212950484967,0,0,0,-1.0186218704621586,-1.1593135788730498,-1.5147808402862286,-1.591994835944159,-1.4915878189001217
GWK60_I06391,0,0,0,0,0,0,0,-1.2528657619943662,-1.4961170770973684,-1.504776639001054
GWK60_J00055,0,0,0,-2.0438223083776115,-6.057949864275367,-6.354285587438779,-5.437315224460583,-4.258188104459213,-3.3785673577936293,-3.20577547302249
GWK60_J00077,0,-1.1657743821992397,0,0,0,0,0,0,0,0
GWK60_J00099,0,0,0,-1.4353965547425458,-1.8769892404446904,-1.2282908432893511,0,0,0,0
GWK60_J00143,0,0,0,1.2303891270431997,1.642895985984969,1.610129547998948,1.0394780258238054,1.6225817654182362,2.0438530656844103,2.254379921670987
GWK60_J00187,0,0,-1.2343934298574366,-2.571643861097188,-2.44753482465728,-2.16236172297311,-1.3896254267684875,-1.026936142846764,0,-1.0137730610231734
GWK60_J00209,0,0,0,0,-1.0474931726976249,-1.1101285478510243,0,0,0,0
GWK60_J00231,0,0,0,-1.5248576536099134,-1.4577517133514968,-1.1651077535492038,0,0,0,0
GWK60_J00253,-2.8613653503137813,0,-2.5633398414036783,-4.233061207827765,-2.42303156704287,-1.7338790463218017,0,-1.1598888062509545,-1.0673062899381012,0
GWK60_J00275,0,-1.7599186676254035,-2.8447460263866504,-4.453959017316006,-4.123773776746038,-3.490493228671943,-2.7990618166444667,-2.596489249775591,-2.680001945062804,-2.7549575691368755
GWK60_J00319,0,0,0,1.5949141483804912,2.128831911949501,2.2893022927933653,2.390937733701675,2.131324981478451,1.979315359361962,1.952007297980416
GWK60_J00341,3.861232084432468,3.0986625136354893,1.5563465181656069,1.4732700915868917,6.0600605234751095,6.659018761550385,6.466465113729768,6.113983575636207,6.249212058091648,6.55584742730874
GWK60_J00363,0,1.1623437492309834,-1.0432313603074386,-3.578419564709437,-2.783852864127003,-2.1820147453100045,0,0,0,0
GWK60_J00385,0,0,0,-1.0329704599890055,-1.279833331864739,-1.3983902576079597,-1.1857992713836836,-1.163853934191058,-1.392451846542468,-1.442449788099463
GWK60_J00407,0,0,0,0,-1.6390633810530844,0,0,0,0,0
GWK60_J00451,0,0,1.0694340974418146,1.2084430182985957,0,0,0,0,0,0
GWK60_J00473,0,0,0,1.256925836012653,1.4528080308625382,1.306066069581856,0,0,0,0
GWK60_J00539,0,0,0,-2.21621315218162,-2.925224034050348,-2.6838951625636285,-1.959450435238068,-1.6936440843207652,-1.676280716718193,-1.7386998603410344
GWK60_J00561,0,0,0,0,0,0,0,0,0,-1.0109334298898218
GWK60_J00627,0,0,0,-2.938384340539948,-5.261349037128301,-4.984638336344625,-3.5218157180385923,-2.746188473401367,-2.116417221014472,-1.8689809209895667
GWK60_J00693,0,0,1.2309393451675104,1.9325768217209536,2.258244932574082,2.0999155547650763,1.7447017096439648,1.6131269116263391,1.7516403972094508,1.8659343095240917
GWK60_J00715,0,0,0,0,1.4396760171572969,1.381856429595094,1.376238993496104,1.0068359495721195,1.290276573987163,0
GWK60_J00737,0,0,0,0,1.1130508719395218,1.0733106557161542,0,0,0,0
GWK60_J00759,0,0,0,-2.531586783378657,-2.6130932191269323,-2.110476573097081,-1.3961734613470125,-1.6659464077650683,-1.5382747581542946,-2.3540088700498667
GWK60_J00781,0,0,0,-2.753723734121591,-2.4924686972548185,-1.7764757789752668,0,0,0,0
GWK60_J00825,0,0,0,0,0,0,0,-1.4130817246977327,-1.402061230599872,-1.6355828482561718
GWK60_J00847,0,1.0553654788493616,-1.2562735777398004,-3.85984557854954,-3.433194349542793,-2.4695770437596343,-1.285008598778495,0,0,0
GWK60_J00869,0,0,-1.057203634238434,-2.422331019150059,-2.7333305140100146,-1.605254191787768,0,0,0,0
GWK60_J00913,0,0,0,0,1.3233782935118277,1.4345954453671106,1.472171433271255,1.29690531368994,1.3359983842496586,1.4301028890601646
GWK60_J00935,0,1.0914646874133471,-2.4300146679459336,-6.544616947274441,-5.4274760997207006,-4.461854762645146,-1.9915383765185712,-1.2636654559568856,-1.236826917291338,-1.320220134904028
GWK60_J00957,0,0,-2.00688668311356,-5.277763602706618,-4.1592384716120065,-3.283608147902411,-1.581255983319667,-1.0247977322056196,0,0
GWK60_J01111,0,0,0,1.0399331783276426,0,0,0,0,0,0
