"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-GWK60_D05269",12291.954333142,2.24645170313106,0.0540017522186734,0,0
"gene-GWK60_D05379",2525.30426624682,2.18079993705734,0.0716180023819817,2.25506969998972e-204,2.75212682643757e-203
"gene-GWK60_D05423",66.5996080162202,-2.5214075007533,0.394685886219989,2.9881877804797e-11,5.5638469824153e-11
"gene-GWK60_D05643",3121.6611927605,3.58368296934578,0.0785782756853543,0,0
"gene-GWK60_D05687",558.655210120743,-2.95373982805292,0.14377153718605,1.05620228284759e-94,6.24227416604304e-94
"gene-GWK60_D05775",748.414467663982,-2.20623376342962,0.114657829045856,3.34802827697744e-83,1.804367698453e-82
"gene-GWK60_D05819",77.6399287566567,3.85831746224444,0.429359939468219,5.27399948529047e-20,1.22748837577999e-19
"gene-GWK60_D06039",1179.36427606556,-2.84660497013497,0.105478372289326,2.07882932567452e-161,1.98811677328145e-160
"gene-GWK60_D06105",12007.8722840958,-2.73712195059207,0.0509480406118684,0,0
"gene-GWK60_D06567",11.0440769359226,3.19470791251808,1.10878837343793,0.000616343687822563,0.000853149420512285
"gene-GWK60_D06699",1679.5783282583,2.47654095888794,0.0848057564917228,3.20426997468031e-188,3.56331079636753e-187
"gene-GWK60_D06721",6.37417718968224,2.49485599442087,1.43183913697992,0.010602243266677,0.013555614871833
"gene-GWK60_D06787",5640.09152181394,3.63034300439511,0.0634261475435077,0,0
"gene-GWK60_D06853",16668.9001001479,2.08717350203126,0.0454533688100292,0,0
"gene-GWK60_E00297",321.818645199784,-4.21971438112271,0.229294633906786,2.92541841918156e-76,1.47109951098423e-75
"gene-GWK60_E00363",979.369712199571,2.34781781234073,0.106611163618689,3.52972412137428e-108,2.33245588924984e-107
"gene-GWK60_E00583",6979.86746584626,2.06870532785127,0.0616207822699518,7.6900134177991e-248,1.15240656916306e-246
"gene-GWK60_E00759",996.374670096982,-2.74753602459248,0.107799380318065,3.728713981039e-144,3.14815979779537e-143
"gene-GWK60_E00935",449.244860639198,-2.58167110127202,0.149463302404598,1.21370811523712e-67,5.62972194545611e-67
"gene-GWK60_E01067",7192.77387766613,2.29146259737787,0.0528466511976,0,0
"gene-GWK60_E01353",1003.72690462991,-3.32646732064838,0.1139759855774,4.38675301368422e-188,4.85775175831136e-187
"gene-GWK60_E01485",3466.64436273679,2.92591830582616,0.0691655844002067,0,0
"gene-GWK60_E01617",12053.3062905828,4.30576299331568,0.0549537730338119,0,0
"gene-GWK60_E01639",888.201008459893,2.20273420020229,0.110406332686252,2.58458245583108e-89,1.4665484053583e-88
"gene-GWK60_E01661",3878.42459974636,2.28657454657061,0.0640575922440761,7.11917574475e-280,1.22375373913023e-278
"gene-GWK60_E01705",419.08858889465,-3.90646619897461,0.188768598251147,6.1965126574464e-96,3.70803829103163e-95
"gene-GWK60_E01771",12922.177790906,-3.53584918253501,0.0547761089719598,0,0
"gene-GWK60_E01793",15340.5044415672,-4.12290267004498,0.0525329227152508,0,0
"gene-GWK60_E02145",449.985465473389,-4.49298083974925,0.204449445221647,1.23943221033112e-107,8.14926678292712e-107
"gene-GWK60_E02321",5538.88430858757,-3.65216814077833,0.0635395501632161,0,0
"gene-GWK60_E02431",1052.40433084934,2.31168808951857,0.101515507788032,1.90910051836425e-115,1.32653483838784e-114
"gene-GWK60_E02453",462.252743721144,-4.10553780866636,0.185731639107146,6.14136964445577e-109,4.09424642963718e-108
"gene-GWK60_E02651",759.860049380324,2.12518283989626,0.12060709539957,3.83351831544059e-70,1.82813294099887e-69
"gene-GWK60_E02827",639.176957886232,-4.71697870906907,0.183139255700575,4.7964636427041e-147,4.10902259945009e-146
"gene-GWK60_E02937",13282.0719367432,2.18946019381973,0.0501165371796298,0,0
"gene-GWK60_E02959",339.049901377581,-2.88293011352965,0.178523292608549,1.90992150010225e-59,8.1279830829594e-59
"gene-GWK60_E02981",2375.05785848099,-5.31101643367494,0.175105104056645,8.65622062034668e-203,1.04911798301898e-201
"gene-GWK60_E03003",1724.67529488356,-2.19745920490149,0.0839760093507467,1.01144891386227e-151,9.04799538591081e-151
"gene-GWK60_E03025",2430.40579832552,-4.4376850850486,0.0946290793682136,0,0
"gene-GWK60_E03113",93.471209766361,7.26620894753475,0.983200658976012,7.18474036439259e-13,1.40385342929811e-12
"gene-GWK60_E03619",750.243829076192,2.04399629739502,0.118917901084807,8.25407544834977e-67,3.7885197956649e-66
"gene-GWK60_E03641",24342.7545661011,-3.10708858937846,0.047891544616186,0,0
"gene-GWK60_E03795",1628.98406172918,-2.55517249834001,0.088003835066757,4.31032212152049e-186,4.7233946581662e-185
"gene-GWK60_E03861",297.870991979437,-2.18892522599219,0.184308028909326,3.52555234475376e-33,1.05186643978473e-32
"gene-GWK60_E04015",18292.7032572286,-4.63306901507689,0.0556649673141942,0,0
"gene-GWK60_E04037",8180.70268555397,2.96722311739444,0.0555200163751895,0,0
